Day,Month,Year,Regulated,Natural
13,6,1925,6.607,7.385813859
14,6,1925,6.573,7.402624792
15,6,1925,6.524,7.412294131
16,6,1925,6.532,7.417017174
17,6,1925,6.613,7.418978557
18,6,1925,6.757,7.420213352
19,6,1925,6.77,7.422464739
20,6,1925,6.756,7.427111549
21,6,1925,6.705,7.434949325
22,6,1925,6.7,7.446769726
23,6,1925,6.714,7.46292398
24,6,1925,6.8,7.483612877
25,6,1925,6.937,7.507660472
26,6,1925,6.95,7.531951769
27,6,1925,6.962,7.552603198
28,6,1925,7.012,7.567549496
29,6,1925,7.038,7.576595086
30,6,1925,7.052,7.580972019
1,7,1925,7.102,7.582478488
2,7,1925,7.134,7.583339248
3,7,1925,7.164,7.584917158
4,7,1925,7.205,7.58757048
5,7,1925,7.28,7.591011811
6,7,1925,7.327,7.596458701
7,7,1925,7.415,7.610853155
8,7,1925,7.472,7.645376739
9,7,1925,7.498,7.706190079
10,7,1925,7.5,7.789173305
11,7,1925,7.512,7.883518589
12,7,1925,7.556,7.977143487
13,7,1925,7.56,8.061286854
14,7,1925,7.572,8.132773171
15,7,1925,7.616,8.193118553
16,7,1925,7.62,8.245342816
17,7,1925,7.626,8.291920179
18,7,1925,7.66,8.334736735
19,7,1925,7.718,8.374437363
20,7,1925,7.772,8.411254072
21,7,1925,7.81,8.445480862
22,7,1925,7.873,8.477406691
23,7,1925,7.957,8.507647902
24,7,1925,8.021,8.536614797
25,7,1925,8.06,8.564911075
26,7,1925,8.118,8.593331646
27,7,1925,8.172,8.622663104
28,7,1925,8.21,8.653945241
29,7,1925,8.273,8.687943673
30,7,1925,8.344,8.725282072
31,7,1925,8.356,8.766118387
1,8,1925,8.384,8.809829629
2,8,1925,8.42,8.856506144
3,8,1925,8.472,8.905529945
4,8,1925,8.504,8.956228208
5,8,1925,8.534,9.006483776
6,8,1925,8.564,9.054220942
7,8,1925,8.588,9.101165261
8,8,1925,8.596,9.148572703
9,8,1925,8.626,9.195377785
10,8,1925,8.663,9.240906184
11,8,1925,8.694,9.284926854
12,8,1925,8.724,9.32770272
13,8,1925,8.76,9.369248
14,8,1925,8.812,9.40939448
15,8,1925,8.844,9.448158
16,8,1925,8.868,9.485614112
17,8,1925,8.882,9.521657072
18,8,1925,8.932,9.556421439
19,8,1925,8.964,9.589860966
20,8,1925,8.994,9.622641155
21,8,1925,9.024,9.654767967
22,8,1925,9.054,9.686070736
23,8,1925,9.084,9.716615744
24,8,1925,9.112,9.746117686
25,8,1925,9.131,9.774702718
26,8,1925,9.139,9.802669309
27,8,1925,9.146,9.830311936
28,8,1925,9.174,9.857459888
29,8,1925,9.204,9.883772211
30,8,1925,9.228,9.908511008
31,8,1925,9.238,9.930603795
1,9,1925,9.291,9.94858872
2,9,1925,9.382,9.961581619
3,9,1925,9.396,9.968297849
4,9,1925,9.418,9.967501299
5,9,1925,9.42,9.958335344
6,9,1925,9.42,9.939858142
7,9,1925,9.42,9.911261542
8,9,1925,9.42,9.872036989
9,9,1925,9.42,9.822613603
10,9,1925,9.414,9.764796342
11,9,1925,9.392,9.702472755
12,9,1925,9.39,9.649687603
13,9,1925,9.39,9.593608345
14,9,1925,9.39,9.539804045
15,9,1925,9.384,9.486095632
16,9,1925,9.362,9.433277657
17,9,1925,9.36,9.381127595
18,9,1925,9.36,9.330274111
19,9,1925,9.354,9.282096934
20,9,1925,9.326,9.238001311
21,9,1925,9.302,9.198792152
22,9,1925,9.294,9.164780895
23,9,1925,9.264,9.136211405
24,9,1925,9.233,9.113132595
25,9,1925,9.23,9.095395683
26,9,1925,9.23,9.082967065
27,9,1925,9.23,9.075678367
28,9,1925,9.23,9.073415263
29,9,1925,9.224,9.075929791
30,9,1925,9.202,9.082967065
1,10,1925,9.2,9.09094076
2,10,1925,9.2,9.103422
3,10,1925,9.2,9.11951755
4,10,1925,9.2,9.138834809
5,10,1925,9.206,9.160793695
6,10,1925,9.228,9.184692319
7,10,1925,9.23,9.209895987
8,10,1925,9.23,9.231879646
9,10,1925,9.23,9.262880355
10,10,1925,9.238,9.293411536
11,10,1925,9.267,9.327457789
12,10,1925,9.27,9.36315
13,10,1925,9.27,9.40010331
14,10,1925,9.276,9.43787742
15,10,1925,9.298,9.475978336
16,10,1925,9.3,9.513859984
